,Tanggal_Observasi,Rainfall,Tahun,Bulan,Tanggal,Dasarian_Ke_Bulan,Dasarian_Tahunan,R1,R3,R5,R7,R10
0,1995-01-01,2.0,1995,1,1,1,1,2.0,2.0,2.0,2.0,2.0
1,1995-01-02,0.0,1995,1,2,1,1,0.0,2.0,2.0,2.0,2.0
2,1995-01-03,0.0,1995,1,3,1,1,0.0,2.0,2.0,2.0,2.0
3,1995-01-04,0.0,1995,1,4,1,1,0.0,0.0,2.0,2.0,2.0
4,1995-01-05,3.0,1995,1,5,1,1,3.0,3.0,5.0,5.0,5.0
5,1995-01-06,0.0,1995,1,6,1,1,0.0,3.0,3.0,5.0,5.0
6,1995-01-07,14.0,1995,1,7,1,1,14.0,17.0,17.0,19.0,19.0
7,1995-01-08,0.0,1995,1,8,1,1,0.0,14.0,17.0,17.0,19.0
8,1995-01-09,0.0,1995,1,9,1,1,0.0,14.0,17.0,17.0,19.0
9,1995-01-10,15.0,1995,1,10,1,1,15.0,15.0,29.0,32.0,34.0
10,1995-01-11,0.0,1995,1,11,2,2,0.0,15.0,29.0,32.0,32.0
11,1995-01-12,25.0,1995,1,12,2,2,25.0,40.0,40.0,54.0,57.0
12,1995-01-13,0.0,1995,1,13,2,2,0.0,25.0,40.0,54.0,57.0
13,1995-01-14,69.0,1995,1,14,2,2,69.0,94.0,109.0,109.0,126.0
14,1995-01-15,18.0,1995,1,15,2,2,18.0,87.0,112.0,127.0,141.0
15,1995-01-16,0.0,1995,1,16,2,2,0.0,87.0,112.0,127.0,141.0
16,1995-01-17,4.0,1995,1,17,2,2,4.0,22.0,91.0,116.0,131.0
17,1995-01-18,84.0,1995,1,18,2,2,84.0,88.0,175.0,200.0,215.0
18,1995-01-19,0.0,1995,1,19,2,2,0.0,88.0,106.0,175.0,215.0
19,1995-01-20,40.0,1995,1,20,2,2,40.0,124.0,128.0,215.0,240.0
