Tahun,Z1,Z2,Tipologi
1995,3.3520465,-6.1136174,4
1996,8.52489,3.0643222,4
1997,-5.9653454,-1.7928675,1
1998,-2.5970097,-15.870519,5
1999,-0.9631303,2.7954485,1
2000,-0.21712998,-7.371341,4
2001,4.6721673,-2.1657948,4
2002,-18.489893,-7.7104254,3
2003,-5.038613,1.3820287,1
2004,-2.0038598,0.12336634,1
2005,3.1752286,-0.5266088,4
2006,-10.167359,-0.5191287,1
2007,-10.689296,-6.0213647,3
2008,-2.3540177,-3.8198717,1
2009,-8.4712105,-4.100846,1
2010,10.098455,-6.5306783,4
2011,-15.034117,-4.481092,3
2012,-6.3712754,-2.423742,1
2013,3.5118654,-14.12581,5
2014,1.1528589,-6.788888,4
2015,1.3705695,-2.8131888,4
2016,4.7282405,-1.1631303,4
2017,-3.4777431,-12.396924,5
2018,-19.803368,-2.310918,3
2019,-5.4509006,-1.1576204,1
2020,-13.083501,-18.639235,5
2021,2.5851853,-1.7559658,4
2022,8.451208,-0.78471625,4
2023,-47.166714,-11.661093,2
2024,-6.38416,-13.65654,5
