Tipologi,Dasarian,Rata_Rata_Curah_Hujan,Dasarian_Ke
1,D01,88.35714285714286,1
2,D01,73.21111111111111,1
1,D02,75.28095238095239,2
2,D02,110.47777777777777,2
1,D03,100.5,3
2,D03,130.01111111111112,3
1,D04,106.44285714285715,4
2,D04,76.88888888888889,4
1,D05,70.52857142857142,5
2,D05,121.26666666666668,5
1,D06,73.6,6
2,D06,66.53333333333333,6
1,D07,71.11428571428571,7
2,D07,87.08888888888889,7
1,D08,56.12380952380952,8
2,D08,59.888888888888886,8
1,D09,48.63809523809524,9
2,D09,75.51111111111112,9
1,D10,38.0,10
2,D10,65.01111111111112,10
1,D11,34.95238095238095,11
2,D11,47.644444444444446,11
1,D12,54.38571428571428,12
2,D12,38.41111111111111,12
1,D13,40.91428571428572,13
2,D13,79.72222222222223,13
1,D14,19.59047619047619,14
2,D14,46.388888888888886,14
1,D15,47.28095238095238,15
2,D15,39.266666666666666,15
1,D16,27.652380952380955,16
2,D16,25.133333333333336,16
1,D17,24.361904761904764,17
2,D17,48.888888888888886,17
1,D18,18.91904761904762,18
2,D18,34.75555555555556,18
1,D19,18.84285714285714,19
2,D19,46.988888888888894,19
1,D20,27.70952380952381,20
2,D20,43.28888888888889,20
1,D21,8.82857142857143,21
2,D21,30.688888888888886,21
1,D22,10.823809523809524,22
2,D22,12.144444444444444,22
1,D23,8.038095238095238,23
2,D23,25.155555555555555,23
1,D24,9.023809523809524,24
2,D24,9.133333333333333,24
1,D25,15.004761904761907,25
2,D25,16.555555555555557,25
1,D26,19.17142857142857,26
2,D26,19.666666666666668,26
1,D27,11.30952380952381,27
2,D27,35.47777777777778,27
1,D28,26.014285714285712,28
2,D28,37.833333333333336,28
1,D29,19.95714285714286,29
2,D29,32.47777777777778,29
1,D30,49.92380952380953,30
2,D30,26.366666666666667,30
1,D31,30.404761904761905,31
2,D31,23.955555555555556,31
1,D32,44.32380952380952,32
2,D32,51.900000000000006,32
1,D33,44.29047619047619,33
2,D33,77.71111111111111,33
1,D34,42.11904761904762,34
2,D34,87.58888888888889,34
1,D35,45.1,35
2,D35,59.44444444444444,35
1,D36,74.71428571428571,36
2,D36,64.64444444444445,36
