Tahun,Z1,Z2,Tipologi
1995,-1.2954812,-23.813538,2
1996,11.530089,3.3749704,1
1997,-18.854256,-7.8179436,1
1998,-13.108449,-38.50242,2
1999,-4.6348767,4.348806,1
2000,-1.8673253,-12.66387,1
2001,3.5281286,-11.011132,1
2002,-22.859589,-26.826368,2
2003,0.22172883,-1.4344529,1
2004,-0.18052624,-8.9698515,1
2005,11.293406,0.30408975,1
2006,-4.408374,-2.7919707,1
2007,-8.070085,-16.698664,1
2008,-1.2291449,0.5258981,1
2009,-6.6755366,-2.03469,1
2010,8.795759,-31.210117,2
2011,-10.009318,-4.814438,1
2012,-8.4977255,-2.4448175,1
2013,7.334702,-45.59924,2
2014,2.908938,-16.070393,1
2015,-2.5683396,-6.0085506,1
2016,16.850067,-3.3208787,1
2017,-7.24012,-33.114105,2
2018,-3.227546,-1.742124,1
2019,-17.950434,-8.189647,1
2020,-26.777412,-45.15651,2
2021,9.486477,-4.6974263,1
2022,4.503039,12.759185,1
2023,-37.782295,-28.496517,2
2024,-10.32411,-41.893322,2
