Latent_Dim,Jumlah_Klaster,Silhouette,Davies_Bouldin,Calinski_Harabasz,Bootstrap_ARI_Mean,Bootstrap_ARI_Std,Rank_Silhouette,Rank_DBI,Rank_ARI,Total_Rank
2,5,0.4068,0.5544,42.9958,0.6962,0.1852,3.0,1.0,1.0,5.0
2,4,0.4233,0.5887,37.1123,0.626,0.2114,2.0,2.0,4.0,8.0
2,6,0.3789,0.6205,44.0104,0.6147,0.1488,4.0,3.0,6.0,13.0
3,6,0.3252,0.8079,19.4794,0.6881,0.1267,6.0,6.0,2.0,14.0
2,3,0.3624,0.71,30.7737,0.5754,0.2014,5.0,4.0,8.0,17.0
3,4,0.3202,0.7988,16.9604,0.5756,0.2009,7.0,5.0,7.0,19.0
2,2,0.5048,0.8349,24.5419,0.4597,0.3198,1.0,7.0,13.0,21.0
3,5,0.3164,0.9004,18.0004,0.6229,0.1639,9.0,8.0,5.0,22.0
4,2,0.2921,1.2499,14.4353,0.64,0.3217,10.0,15.0,3.0,28.0
3,3,0.2856,0.928,14.8179,0.492,0.2544,11.0,10.0,10.0,31.0
4,6,0.2299,0.9467,11.9148,0.4961,0.1373,15.0,11.0,9.0,35.0
4,4,0.2653,1.0676,13.3627,0.4705,0.1578,12.0,12.0,12.0,36.0
3,2,0.3177,1.2,14.056,0.348,0.3051,8.0,14.0,15.0,37.0
4,3,0.2637,1.1663,12.9211,0.4902,0.209,13.0,13.0,11.0,37.0
4,5,0.2445,0.9247,12.3429,0.4467,0.1668,14.0,9.0,14.0,37.0
