Model,Split,Decision_Rule,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score,POD,FAR,CSI,AUROC
Baseline_R1_ge_50,validation,R1 >= 50.0 mm,50.0,2141,24,24,2,0.9781,0.0769,0.0769,0.0769,0.0769,0.9231,0.04,
Baseline_R1_ge_50,test,R1 >= 50.0 mm,50.0,2122,35,35,0,0.9681,0.0,0.0,0.0,0.0,1.0,0.0,
Baseline_R3_ge_50,validation,R3 >= 50.0 mm,50.0,2006,159,21,5,0.9178,0.0305,0.1923,0.0526,0.1923,0.9695,0.027,
Baseline_R3_ge_50,test,R3 >= 50.0 mm,50.0,1989,168,33,2,0.9083,0.0118,0.0571,0.0195,0.0571,0.9882,0.0099,
Baseline_R5_ge_50,validation,R5 >= 50.0 mm,50.0,1834,331,18,8,0.8407,0.0236,0.3077,0.0438,0.3077,0.9764,0.0224,
Baseline_R5_ge_50,test,R5 >= 50.0 mm,50.0,1800,357,29,6,0.8239,0.0165,0.1714,0.0302,0.1714,0.9835,0.0153,
Baseline_R7_ge_50,validation,R7 >= 50.0 mm,50.0,1650,515,16,10,0.7576,0.019,0.3846,0.0363,0.3846,0.981,0.0185,
Baseline_R7_ge_50,test,R7 >= 50.0 mm,50.0,1597,560,23,12,0.734,0.021,0.3429,0.0395,0.3429,0.979,0.0202,
Baseline_R10_ge_50,validation,R10 >= 50.0 mm,50.0,1356,809,11,15,0.6257,0.0182,0.5769,0.0353,0.5769,0.9818,0.018,
Baseline_R10_ge_50,test,R10 >= 50.0 mm,50.0,1323,834,17,18,0.6118,0.0211,0.5143,0.0406,0.5143,0.9789,0.0207,
