Model,POD,FAR,CSI,AUROC,TP,FP,FN,TN,Tipe
CNN_balanced,0.2286,0.9692,0.0279,0.6298,8,252,27,1905,CNN
CNN_weight_1_5,0.2857,0.9758,0.0228,0.6167,10,404,25,1753,CNN
Baseline_R10_ge_50,0.5143,0.9789,0.0207,,18,834,17,1323,Baseline
Baseline_R7_ge_50,0.3429,0.979,0.0202,,12,560,23,1597,Baseline
Baseline_R5_ge_50,0.1714,0.9835,0.0153,,6,357,29,1800,Baseline
Baseline_R3_ge_50,0.0571,0.9882,0.0099,,2,168,33,1989,Baseline
Baseline_R1_ge_50,0.0,1.0,0.0,,0,35,35,2122,Baseline
CNN_weight_1_3,0.0,1.0,0.0,0.6392,0,51,35,2106,CNN
CNN_weight_1_2,0.0,1.0,0.0,0.6179,0,24,35,2133,CNN
CNN_none,0.0,0.0,0.0,0.6388,0,0,35,2157,CNN
