Horizon_Hari,Model,Split,Decision_Rule,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score,POD,FAR,CSI,AUROC
1,Baseline_R1_ge_50,validation,R1 >= 50.0 mm,50.0,2141,24,24,2,0.9781,0.0769,0.0769,0.0769,0.0769,0.9231,0.04,
1,Baseline_R1_ge_50,test,R1 >= 50.0 mm,50.0,2113,35,35,0,0.9679,0.0,0.0,0.0,0.0,1.0,0.0,
1,Baseline_R3_ge_50,validation,R3 >= 50.0 mm,50.0,2006,159,21,5,0.9178,0.0305,0.1923,0.0526,0.1923,0.9695,0.027,
1,Baseline_R3_ge_50,test,R3 >= 50.0 mm,50.0,1980,168,33,2,0.9079,0.0118,0.0571,0.0195,0.0571,0.9882,0.0099,
1,Baseline_R5_ge_50,validation,R5 >= 50.0 mm,50.0,1834,331,18,8,0.8407,0.0236,0.3077,0.0438,0.3077,0.9764,0.0224,
1,Baseline_R5_ge_50,test,R5 >= 50.0 mm,50.0,1792,356,29,6,0.8236,0.0166,0.1714,0.0302,0.1714,0.9834,0.0153,
1,Baseline_R7_ge_50,validation,R7 >= 50.0 mm,50.0,1650,515,16,10,0.7576,0.019,0.3846,0.0363,0.3846,0.981,0.0185,
1,Baseline_R7_ge_50,test,R7 >= 50.0 mm,50.0,1594,554,23,12,0.7357,0.0212,0.3429,0.0399,0.3429,0.9788,0.0204,
1,Baseline_R10_ge_50,validation,R10 >= 50.0 mm,50.0,1356,809,11,15,0.6257,0.0182,0.5769,0.0353,0.5769,0.9818,0.018,
1,Baseline_R10_ge_50,test,R10 >= 50.0 mm,50.0,1323,825,17,18,0.6143,0.0214,0.5143,0.041,0.5143,0.9786,0.0209,
3,Baseline_R1_ge_50,validation,R1 >= 50.0 mm,50.0,2095,21,70,5,0.9585,0.1923,0.0667,0.099,0.0667,0.8077,0.0521,
3,Baseline_R1_ge_50,test,R1 >= 50.0 mm,50.0,2045,35,103,0,0.9368,0.0,0.0,0.0,0.0,1.0,0.0,
3,Baseline_R3_ge_50,validation,R3 >= 50.0 mm,50.0,1965,151,62,13,0.9028,0.0793,0.1733,0.1088,0.1733,0.9207,0.0575,
3,Baseline_R3_ge_50,test,R3 >= 50.0 mm,50.0,1916,164,97,6,0.8804,0.0353,0.0583,0.044,0.0583,0.9647,0.0225,
3,Baseline_R5_ge_50,validation,R5 >= 50.0 mm,50.0,1797,319,55,20,0.8293,0.059,0.2667,0.0966,0.2667,0.941,0.0508,
3,Baseline_R5_ge_50,test,R5 >= 50.0 mm,50.0,1736,344,85,18,0.8035,0.0497,0.1748,0.0774,0.1748,0.9503,0.0403,
3,Baseline_R7_ge_50,validation,R7 >= 50.0 mm,50.0,1622,494,44,31,0.7545,0.059,0.4133,0.1033,0.4133,0.941,0.0545,
3,Baseline_R7_ge_50,test,R7 >= 50.0 mm,50.0,1546,534,71,32,0.7229,0.0565,0.3107,0.0957,0.3107,0.9435,0.0502,
3,Baseline_R10_ge_50,validation,R10 >= 50.0 mm,50.0,1332,784,35,40,0.6262,0.0485,0.5333,0.089,0.5333,0.9515,0.0466,
3,Baseline_R10_ge_50,test,R10 >= 50.0 mm,50.0,1284,796,56,47,0.6097,0.0558,0.4563,0.0994,0.4563,0.9442,0.0523,
5,Baseline_R1_ge_50,validation,R1 >= 50.0 mm,50.0,2051,21,114,5,0.9384,0.1923,0.042,0.069,0.042,0.8077,0.0357,
5,Baseline_R1_ge_50,test,R1 >= 50.0 mm,50.0,1979,34,169,1,0.907,0.0286,0.0059,0.0098,0.0059,0.9714,0.0049,
5,Baseline_R3_ge_50,validation,R3 >= 50.0 mm,50.0,1925,147,102,17,0.8864,0.1037,0.1429,0.1201,0.1429,0.8963,0.0639,
5,Baseline_R3_ge_50,test,R3 >= 50.0 mm,50.0,1854,159,159,11,0.8543,0.0647,0.0647,0.0647,0.0647,0.9353,0.0334,
5,Baseline_R5_ge_50,validation,R5 >= 50.0 mm,50.0,1765,307,87,32,0.8202,0.0944,0.2689,0.1397,0.2689,0.9056,0.0751,
5,Baseline_R5_ge_50,test,R5 >= 50.0 mm,50.0,1682,331,139,31,0.7847,0.0856,0.1824,0.1165,0.1824,0.9144,0.0619,
5,Baseline_R7_ge_50,validation,R7 >= 50.0 mm,50.0,1593,479,73,46,0.7481,0.0876,0.3866,0.1429,0.3866,0.9124,0.0769,
