Model,POD,FAR,CSI,AUROC,TP,FP,FN,TN,Tipe
CNN_seq14_aux_none,0.0857,0.9583,0.0288,0.6665,3,69,32,2088,CNN_sequence14
CNN_seq14_aux_weight_1_2,0.2,0.9714,0.0256,0.6471,7,238,28,1919,CNN_sequence14
Baseline_R10_ge_50,0.5143,0.9789,0.0207,,18,834,17,1323,Baseline
Baseline_R7_ge_50,0.3429,0.979,0.0202,,12,560,23,1597,Baseline
CNN_seq14_aux_balanced,0.0571,0.9744,0.018,0.4687,2,76,33,2081,CNN_sequence14
CNN_seq14_aux_weight_1_5,0.0286,0.9655,0.0159,0.6532,1,28,34,2129,CNN_sequence14
Baseline_R5_ge_50,0.1714,0.9835,0.0153,,6,357,29,1800,Baseline
Baseline_R3_ge_50,0.0571,0.9882,0.0099,,2,168,33,1989,Baseline
CNN_seq14_aux_weight_1_3,0.0286,0.987,0.009,0.6465,1,76,34,2081,CNN_sequence14
Baseline_R1_ge_50,0.0,1.0,0.0,,0,35,35,2122,Baseline
