Feature,Importance
sin_dayofyear,0.0532286759018362
rainy_days_14d,0.04427068570167584
dry_days_14d,0.04355412016973133
cos_dayofyear,0.041401442969663894
days_since_heavy_rain,0.040809297207943906
dry_days_7d,0.03997380610058447
R10,0.03804626428756112
R1,0.036776010131737855
mean_anom_14d,0.036550509029247294
rainy_days_7d,0.0359750359913545
mean_rain_14d,0.03227812506273756
R3,0.031094621037021125
mean_anom_7d,0.030808410834216315
max_anom_14d,0.029109175877481994
sum_rain_14d,0.027332705075667096
mean_anom_3d,0.026685443656999142
mean_rain_5d,0.026628072567265307
sum_rain_3d,0.02647847884981552
mean_rain_3d,0.0261682653792444
days_since_rain,0.02591397004296888
sum_rain_7d,0.025521603300752004
sum_rain_5d,0.025459614615781768
R5,0.0251897501746523
max_rain_5d,0.02443041901447979
max_anom_7d,0.024133512308059116
max_anom_3d,0.023825960744206242
max_rain_14d,0.023458575366296117
trend_rain_7d,0.02215137676359423
trend_rain_3d,0.019834409879926764
R7,0.019824358658577748
mean_rain_7d,0.019742890442387685
max_rain_3d,0.019539907004872195
max_rain_7d,0.016046691842714962
dry_days_3d,0.00888277030612042
rainy_days_3d,0.00887504370282484
