Feature,Importance
sin_dayofyear,0.052207640827548155
dry_days_14d,0.046014777693373865
rainy_days_14d,0.04164955964886831
dry_days_7d,0.04124083981265686
days_since_heavy_rain,0.04001577122414415
cos_dayofyear,0.03947570468574874
mean_anom_14d,0.0381649437563392
R1,0.03812751260438053
R10,0.03734086839417598
rainy_days_7d,0.035705440133797436
mean_rain_14d,0.03301692558193791
max_anom_14d,0.031461693904289864
R3,0.03084408958269827
mean_anom_7d,0.030171259926712872
sum_rain_14d,0.029324434061316962
days_since_rain,0.027452691570348565
R5,0.026632256034226774
mean_rain_5d,0.026132253593939656
mean_anom_3d,0.026054958611560586
sum_rain_3d,0.026038771831002252
sum_rain_7d,0.024949803964841154
max_rain_14d,0.024460103250368192
sum_rain_5d,0.024122022051010418
mean_rain_3d,0.023610053764920015
mean_rain_7d,0.02284966379129617
max_rain_3d,0.022336602175400788
R7,0.022331009096999584
max_anom_3d,0.02227368183465397
max_rain_5d,0.02214284273445902
trend_rain_7d,0.022097636631563583
max_anom_7d,0.020714069547835244
trend_rain_3d,0.019478769172298467
max_rain_7d,0.016050817255171455
rainy_days_3d,0.007935266897276855
dry_days_3d,0.0075752643528381545
