Feature,Importance
mean_anom_3d,0.06165742390147083
days_since_heavy_rain,0.0597111602859603
R1,0.04828294340653195
mean_anom_14d,0.048195220157262034
mean_anom_7d,0.04425857146448136
sin_dayofyear,0.04215847893235666
max_anom_14d,0.04090931175183532
trend_rain_3d,0.035115167103903194
max_anom_3d,0.03509243884552573
mean_rain_14d,0.034032740848257914
cos_dayofyear,0.032844620111885034
sum_rain_14d,0.03258326165955238
max_anom_7d,0.03166433381980773
sum_rain_3d,0.030918132773636576
trend_rain_7d,0.030358554030826858
mean_rain_3d,0.029537962872289204
mean_rain_5d,0.029252324712402383
sum_rain_5d,0.028396688361507372
R3,0.027576212991378586
sum_rain_7d,0.02663953880975955
max_rain_5d,0.025473169895756757
R10,0.025202160399723204
max_rain_14d,0.02462047386211169
max_rain_3d,0.024602495495237655
R5,0.02336875749503311
max_rain_7d,0.020903707579945956
mean_rain_7d,0.019777827894245873
R7,0.01952654674718405
dry_days_14d,0.016273136347061866
rainy_days_14d,0.015088931646221
rainy_days_7d,0.010133653944127324
dry_days_7d,0.009770750048820468
days_since_rain,0.008257154277366363
dry_days_3d,0.003923662860561458
rainy_days_3d,0.0038924846659722364
