Feature,Importance
dry_days_7d,0.04771614
sum_rain_5d,0.043754876
sum_rain_3d,0.040867623
days_since_rain,0.038350556
rainy_days_7d,0.03745354
R1,0.036508583
dry_days_14d,0.034902085
mean_rain_5d,0.03403374
max_rain_3d,0.029581245
R5,0.02953383
mean_anom_14d,0.029251358
mean_anom_3d,0.02849453
R3,0.02826348
max_rain_14d,0.027753657
max_rain_7d,0.027404644
sin_dayofyear,0.027164903
mean_rain_3d,0.027011925
days_since_heavy_rain,0.026690526
rainy_days_14d,0.026581503
max_anom_14d,0.026315853
mean_rain_14d,0.026314743
mean_anom_7d,0.026091896
cos_dayofyear,0.025637439
trend_rain_3d,0.02554275
sum_rain_14d,0.025503619
R7,0.025236841
max_anom_3d,0.024822108
max_rain_5d,0.024555594
trend_rain_7d,0.024348212
R10,0.02377909
sum_rain_7d,0.023605384
max_anom_7d,0.022604601
rainy_days_3d,0.021089243
mean_rain_7d,0.020031422
dry_days_3d,0.013202432
