Feature,Importance
sum_rain_3d,0.048232343
sum_rain_5d,0.047958735
dry_days_7d,0.04713585
rainy_days_14d,0.044882983
rainy_days_7d,0.043593347
dry_days_14d,0.04106385
R3,0.0395582
days_since_rain,0.03884203
R1,0.031833507
mean_rain_7d,0.029583408
mean_anom_14d,0.027990425
mean_anom_3d,0.027962236
days_since_heavy_rain,0.027809313
max_rain_3d,0.02697708
R10,0.026944121
sin_dayofyear,0.026565988
max_rain_7d,0.026289366
max_rain_5d,0.026166486
max_rain_14d,0.025189688
cos_dayofyear,0.02500287
sum_rain_7d,0.024979629
rainy_days_3d,0.02379259
R5,0.023760865
trend_rain_3d,0.023623653
mean_rain_14d,0.023238845
sum_rain_14d,0.022740932
max_anom_7d,0.02263938
trend_rain_7d,0.022607148
mean_anom_7d,0.02191028
R7,0.021794168
max_anom_14d,0.021011861
max_anom_3d,0.020870069
mean_rain_5d,0.019516453
mean_rain_3d,0.015882099
dry_days_3d,0.012050165
