Feature,Importance
mean_rain_3d,0.06256078
sum_rain_5d,0.045397453
dry_days_7d,0.04088818
sum_rain_3d,0.03934958
dry_days_14d,0.03589289
mean_rain_5d,0.03586579
rainy_days_7d,0.03282315
R1,0.032695208
days_since_rain,0.031802144
max_rain_5d,0.03147853
R5,0.03066643
mean_rain_14d,0.030660724
days_since_heavy_rain,0.030123968
R3,0.029621579
mean_anom_3d,0.028233092
sum_rain_7d,0.027692094
max_rain_3d,0.027230378
mean_anom_14d,0.027133685
rainy_days_14d,0.02696071
mean_anom_7d,0.02617496
max_rain_14d,0.024832707
cos_dayofyear,0.024590952
max_anom_3d,0.024497814
sin_dayofyear,0.024099626
R10,0.024052901
max_anom_14d,0.023742428
sum_rain_14d,0.023717258
max_rain_7d,0.02346292
trend_rain_3d,0.022890383
max_anom_7d,0.022478139
R7,0.021426698
trend_rain_7d,0.020242143
dry_days_3d,0.019116636
rainy_days_3d,0.014369009
mean_rain_7d,0.013229059
