No,Fitur
1,R1
2,R3
3,R5
4,R7
5,R10
6,max_rain_3d
7,max_rain_5d
8,max_rain_7d
9,max_rain_14d
10,sum_rain_3d
11,sum_rain_5d
12,sum_rain_7d
13,sum_rain_14d
14,mean_rain_3d
15,mean_rain_5d
16,mean_rain_7d
17,mean_rain_14d
18,rainy_days_3d
19,rainy_days_7d
20,rainy_days_14d
21,dry_days_3d
22,dry_days_7d
23,dry_days_14d
24,days_since_rain
25,days_since_heavy_rain
26,mean_anom_3d
27,mean_anom_7d
28,mean_anom_14d
29,max_anom_3d
30,max_anom_7d
31,max_anom_14d
32,trend_rain_3d
33,trend_rain_7d
34,sin_dayofyear
35,cos_dayofyear
