Feature,Importance
mean_anom_3d,0.06165742390147083
days_since_heavy_rain,0.0597111602859603
R1,0.04828294340653195
mean_anom_14d,0.048195220157262034
mean_anom_7d,0.04425857146448136
sin_dayofyear,0.04215847893235666
max_anom_14d,0.04090931175183532
trend_rain_3d,0.035115167103903194
max_anom_3d,0.03509243884552573
mean_rain_14d,0.034032740848257914
cos_dayofyear,0.032844620111885034
sum_rain_14d,0.03258326165955238
max_anom_7d,0.03166433381980773
sum_rain_3d,0.030918132773636576
trend_rain_7d,0.030358554030826858
