Tahun,Dasarian_Tahunan,Curah_Hujan_Dasarian,Jumlah_Data_Tersedia,Jumlah_Hari,Persentase_Kelengkapan
1995,1,34.0,10,10,100.0
1995,2,240.0,10,10,100.0
1995,3,119.0,11,11,100.0
1995,4,121.0,10,10,100.0
1995,5,136.0,10,10,100.0
1995,6,9.0,8,8,100.0
1995,7,121.0,10,10,100.0
1995,8,54.0,10,10,100.0
1995,9,89.0,11,11,100.0
1995,10,110.0,10,10,100.0
1995,11,31.0,10,10,100.0
1995,12,80.0,10,10,100.0
1995,13,58.0,10,10,100.0
1995,14,10.0,10,10,100.0
1995,15,34.0,11,11,100.0
1995,16,29.0,10,10,100.0
1995,17,40.0,10,10,100.0
1995,18,23.0,10,10,100.0
1995,19,70.0,10,10,100.0
1995,20,40.0,10,10,100.0
1995,21,56.0,11,11,100.0
1995,22,21.0,10,10,100.0
1995,23,0.0,10,10,100.0
1995,24,1.0,11,11,100.0
1995,25,10.0,10,10,100.0
1995,26,0.0,10,10,100.0
1995,27,49.0,10,10,100.0
1995,28,22.0,10,10,100.0
1995,29,32.0,10,10,100.0
1995,30,36.0,11,11,100.0
1995,31,34.0,10,10,100.0
1995,32,13.0,10,10,100.0
1995,33,201.0,10,10,100.0
1995,34,83.0,10,10,100.0
1995,35,95.0,10,10,100.0
1995,36,27.0,11,11,100.0
1996,1,107.0,10,10,100.0
1996,2,38.0,10,10,100.0
1996,3,111.0,11,11,100.0
1996,4,132.0,10,10,100.0
1996,5,54.0,10,10,100.0
1996,6,189.0,9,9,100.0
1996,7,91.0,10,10,100.0
1996,8,41.0,10,10,100.0
1996,9,65.0,11,11,100.0
1996,10,10.0,10,10,100.0
1996,11,35.0,10,10,100.0
1996,12,216.0,10,10,100.0
1996,13,16.0,10,10,100.0
1996,14,8.0,10,10,100.0
1996,15,188.0,11,11,100.0
1996,16,10.0,10,10,100.0
1996,17,67.0,10,10,100.0
1996,18,16.0,10,10,100.0
1996,19,0.0,10,10,100.0
1996,20,0.0,10,10,100.0
1996,21,0.0,11,11,100.0
1996,22,77.0,10,10,100.0
1996,23,44.0,10,10,100.0
1996,24,12.0,11,11,100.0
