Tanggal_Observasi,Rainfall,Tahun,Bulan,Tanggal,Dasarian_Ke_Bulan,Dasarian_Tahunan,R1,R3,R5,R7,R10
1995-01-01,2.0,1995,1,1,1,1,2.0,2.0,2.0,2.0,2.0
1995-01-02,0.0,1995,1,2,1,1,0.0,2.0,2.0,2.0,2.0
1995-01-03,0.0,1995,1,3,1,1,0.0,2.0,2.0,2.0,2.0
1995-01-04,0.0,1995,1,4,1,1,0.0,0.0,2.0,2.0,2.0
1995-01-05,3.0,1995,1,5,1,1,3.0,3.0,5.0,5.0,5.0
1995-01-06,0.0,1995,1,6,1,1,0.0,3.0,3.0,5.0,5.0
1995-01-07,14.0,1995,1,7,1,1,14.0,17.0,17.0,19.0,19.0
1995-01-08,0.0,1995,1,8,1,1,0.0,14.0,17.0,17.0,19.0
1995-01-09,0.0,1995,1,9,1,1,0.0,14.0,17.0,17.0,19.0
1995-01-10,15.0,1995,1,10,1,1,15.0,15.0,29.0,32.0,34.0
1995-01-11,0.0,1995,1,11,2,2,0.0,15.0,29.0,32.0,32.0
1995-01-12,25.0,1995,1,12,2,2,25.0,40.0,40.0,54.0,57.0
1995-01-13,0.0,1995,1,13,2,2,0.0,25.0,40.0,54.0,57.0
1995-01-14,69.0,1995,1,14,2,2,69.0,94.0,109.0,109.0,126.0
1995-01-15,18.0,1995,1,15,2,2,18.0,87.0,112.0,127.0,141.0
1995-01-16,0.0,1995,1,16,2,2,0.0,87.0,112.0,127.0,141.0
1995-01-17,4.0,1995,1,17,2,2,4.0,22.0,91.0,116.0,131.0
1995-01-18,84.0,1995,1,18,2,2,84.0,88.0,175.0,200.0,215.0
1995-01-19,0.0,1995,1,19,2,2,0.0,88.0,106.0,175.0,215.0
1995-01-20,40.0,1995,1,20,2,2,40.0,124.0,128.0,215.0,240.0
1995-01-21,37.0,1995,1,21,3,3,37.0,77.0,165.0,183.0,277.0
1995-01-22,2.0,1995,1,22,3,3,2.0,79.0,163.0,167.0,254.0
1995-01-23,3.0,1995,1,23,3,3,3.0,42.0,82.0,170.0,257.0
1995-01-24,37.0,1995,1,24,3,3,37.0,42.0,119.0,203.0,225.0
1995-01-25,4.0,1995,1,25,3,3,4.0,44.0,83.0,123.0,211.0
1995-01-26,10.0,1995,1,26,3,3,10.0,51.0,56.0,133.0,221.0
1995-01-27,2.0,1995,1,27,3,3,2.0,16.0,56.0,95.0,219.0
1995-01-28,2.0,1995,1,28,3,3,2.0,14.0,55.0,60.0,137.0
1995-01-29,16.0,1995,1,29,3,3,16.0,20.0,34.0,74.0,153.0
1995-01-30,0.0,1995,1,30,3,3,0.0,18.0,30.0,71.0,113.0
1995-01-31,6.0,1995,1,31,3,3,6.0,22.0,26.0,40.0,82.0
1995-02-01,15.0,1995,2,1,1,4,15.0,21.0,39.0,51.0,95.0
1995-02-02,9.0,1995,2,2,1,4,9.0,30.0,46.0,50.0,101.0
1995-02-03,29.0,1995,2,3,1,4,29.0,53.0,59.0,77.0,93.0
1995-02-04,0.0,1995,2,4,1,4,0.0,38.0,59.0,75.0,89.0
1995-02-05,8.0,1995,2,5,1,4,8.0,37.0,61.0,67.0,87.0
1995-02-06,0.0,1995,2,6,1,4,0.0,8.0,46.0,67.0,85.0
1995-02-07,0.0,1995,2,7,1,4,0.0,8.0,37.0,61.0,83.0
1995-02-08,13.0,1995,2,8,1,4,13.0,13.0,21.0,59.0,80.0
1995-02-09,27.0,1995,2,9,1,4,27.0,40.0,48.0,77.0,107.0
1995-02-10,20.0,1995,2,10,1,4,20.0,60.0,60.0,68.0,121.0
1995-02-11,49.0,1995,2,11,2,5,49.0,96.0,109.0,117.0,155.0
1995-02-12,32.0,1995,2,12,2,5,32.0,101.0,141.0,141.0,178.0
1995-02-13,6.0,1995,2,13,2,5,6.0,87.0,134.0,147.0,155.0
1995-02-14,0.0,1995,2,14,2,5,0.0,38.0,107.0,147.0,155.0
1995-02-15,0.0,1995,2,15,2,5,0.0,6.0,87.0,134.0,147.0
1995-02-16,0.0,1995,2,16,2,5,0.0,0.0,38.0,107.0,147.0
1995-02-17,0.0,1995,2,17,2,5,0.0,0.0,6.0,87.0,147.0
1995-02-18,49.0,1995,2,18,2,5,49.0,49.0,49.0,87.0,183.0
1995-02-19,0.0,1995,2,19,2,5,0.0,49.0,49.0,55.0,156.0
1995-02-20,0.0,1995,2,20,2,5,0.0,49.0,49.0,49.0,136.0
1995-02-21,0.0,1995,2,21,3,6,0.0,0.0,49.0,49.0,87.0
1995-02-22,0.0,1995,2,22,3,6,0.0,0.0,49.0,49.0,55.0
1995-02-23,7.0,1995,2,23,3,6,7.0,7.0,7.0,56.0,56.0
1995-02-24,0.0,1995,2,24,3,6,0.0,7.0,7.0,56.0,56.0
1995-02-25,2.0,1995,2,25,3,6,2.0,9.0,9.0,9.0,58.0
1995-02-26,0.0,1995,2,26,3,6,0.0,2.0,9.0,9.0,58.0
1995-02-27,0.0,1995,2,27,3,6,0.0,2.0,9.0,9.0,58.0
1995-02-28,0.0,1995,2,28,3,6,0.0,0.0,2.0,9.0,9.0
1995-03-01,3.0,1995,3,1,1,7,3.0,3.0,5.0,12.0,12.0
1995-03-02,59.0,1995,3,2,1,7,59.0,62.0,62.0,64.0,71.0
1995-03-03,7.0,1995,3,3,1,7,7.0,69.0,69.0,71.0,78.0
1995-03-04,3.0,1995,3,4,1,7,3.0,69.0,72.0,72.0,81.0
1995-03-05,10.0,1995,3,5,1,7,10.0,20.0,82.0,82.0,84.0
1995-03-06,31.0,1995,3,6,1,7,31.0,44.0,110.0,113.0,115.0
1995-03-07,7.0,1995,3,7,1,7,7.0,48.0,58.0,120.0,120.0
1995-03-08,0.0,1995,3,8,1,7,0.0,38.0,51.0,117.0,120.0
1995-03-09,0.0,1995,3,9,1,7,0.0,7.0,48.0,58.0,120.0
1995-03-10,1.0,1995,3,10,1,7,1.0,1.0,39.0,52.0,121.0
1995-03-11,1.0,1995,3,11,2,8,1.0,2.0,9.0,50.0,119.0
1995-03-12,0.0,1995,3,12,2,8,0.0,2.0,2.0,40.0,60.0
1995-03-13,0.0,1995,3,13,2,8,0.0,1.0,2.0,9.0,53.0
1995-03-14,36.0,1995,3,14,2,8,36.0,36.0,38.0,38.0,86.0
1995-03-15,0.0,1995,3,15,2,8,0.0,36.0,37.0,38.0,76.0
1995-03-16,0.0,1995,3,16,2,8,0.0,36.0,36.0,38.0,45.0
1995-03-17,17.0,1995,3,17,2,8,17.0,17.0,53.0,54.0,55.0
1995-03-18,0.0,1995,3,18,2,8,0.0,17.0,53.0,53.0,55.0
1995-03-19,0.0,1995,3,19,2,8,0.0,17.0,17.0,53.0,55.0
1995-03-20,0.0,1995,3,20,2,8,0.0,0.0,17.0,53.0,54.0
1995-03-21,1.0,1995,3,21,3,9,1.0,1.0,18.0,18.0,54.0
1995-03-22,2.0,1995,3,22,3,9,2.0,3.0,3.0,20.0,56.0
1995-03-23,31.0,1995,3,23,3,9,31.0,34.0,34.0,51.0,87.0
1995-03-24,4.0,1995,3,24,3,9,4.0,37.0,38.0,38.0,55.0
1995-03-25,0.0,1995,3,25,3,9,0.0,35.0,38.0,38.0,55.0
1995-03-26,1.0,1995,3,26,3,9,1.0,5.0,38.0,39.0,56.0
1995-03-27,2.0,1995,3,27,3,9,2.0,3.0,38.0,41.0,41.0
1995-03-28,0.0,1995,3,28,3,9,0.0,3.0,7.0,40.0,41.0
1995-03-29,48.0,1995,3,29,3,9,48.0,50.0,51.0,86.0,89.0
1995-03-30,0.0,1995,3,30,3,9,0.0,48.0,51.0,55.0,89.0
1995-03-31,0.0,1995,3,31,3,9,0.0,48.0,50.0,51.0,88.0
1995-04-01,6.0,1995,4,1,1,10,6.0,6.0,54.0,57.0,92.0
1995-04-02,8.0,1995,4,2,1,10,8.0,14.0,62.0,64.0,69.0
1995-04-03,0.0,1995,4,3,1,10,0.0,14.0,14.0,62.0,65.0
1995-04-04,0.0,1995,4,4,1,10,0.0,8.0,14.0,62.0,65.0
1995-04-05,67.0,1995,4,5,1,10,67.0,67.0,81.0,81.0,131.0
1995-04-06,9.0,1995,4,6,1,10,9.0,76.0,84.0,90.0,138.0
1995-04-07,16.0,1995,4,7,1,10,16.0,92.0,92.0,106.0,154.0
1995-04-08,3.0,1995,4,8,1,10,3.0,28.0,95.0,103.0,109.0
1995-04-09,1.0,1995,4,9,1,10,1.0,20.0,96.0,96.0,110.0
1995-04-10,0.0,1995,4,10,1,10,0.0,4.0,29.0,96.0,110.0
1995-04-11,0.0,1995,4,11,2,11,0.0,1.0,20.0,96.0,104.0
1995-04-12,0.0,1995,4,12,2,11,0.0,0.0,4.0,29.0,96.0
1995-04-13,0.0,1995,4,13,2,11,0.0,0.0,1.0,20.0,96.0
1995-04-14,0.0,1995,4,14,2,11,0.0,0.0,0.0,4.0,96.0
1995-04-15,0.0,1995,4,15,2,11,0.0,0.0,0.0,1.0,29.0
1995-04-16,0.0,1995,4,16,2,11,0.0,0.0,0.0,0.0,20.0
1995-04-17,6.0,1995,4,17,2,11,6.0,6.0,6.0,6.0,10.0
1995-04-18,19.0,1995,4,18,2,11,19.0,25.0,25.0,25.0,26.0
1995-04-19,0.0,1995,4,19,2,11,0.0,25.0,25.0,25.0,25.0
1995-04-20,6.0,1995,4,20,2,11,6.0,25.0,31.0,31.0,31.0
1995-04-21,0.0,1995,4,21,3,12,0.0,6.0,31.0,31.0,31.0
1995-04-22,7.0,1995,4,22,3,12,7.0,13.0,32.0,38.0,38.0
1995-04-23,0.0,1995,4,23,3,12,0.0,7.0,13.0,38.0,38.0
1995-04-24,59.0,1995,4,24,3,12,59.0,66.0,72.0,91.0,97.0
1995-04-25,0.0,1995,4,25,3,12,0.0,59.0,66.0,72.0,97.0
1995-04-26,0.0,1995,4,26,3,12,0.0,59.0,66.0,72.0,97.0
1995-04-27,0.0,1995,4,27,3,12,0.0,0.0,59.0,66.0,91.0
1995-04-28,4.0,1995,4,28,3,12,4.0,4.0,63.0,70.0,76.0
1995-04-29,0.0,1995,4,29,3,12,0.0,4.0,4.0,63.0,76.0
1995-04-30,10.0,1995,4,30,3,12,10.0,14.0,14.0,73.0,80.0
1995-05-01,0.0,1995,5,1,1,13,0.0,10.0,14.0,14.0,80.0
1995-05-02,2.0,1995,5,2,1,13,2.0,12.0,16.0,16.0,75.0
1995-05-03,43.0,1995,5,3,1,13,43.0,45.0,55.0,59.0,118.0
1995-05-04,0.0,1995,5,4,1,13,0.0,45.0,55.0,59.0,59.0
1995-05-05,0.0,1995,5,5,1,13,0.0,43.0,45.0,55.0,59.0
1995-05-06,5.0,1995,5,6,1,13,5.0,5.0,50.0,60.0,64.0
1995-05-07,0.0,1995,5,7,1,13,0.0,5.0,48.0,50.0,64.0
1995-05-08,0.0,1995,5,8,1,13,0.0,5.0,5.0,50.0,60.0
1995-05-09,8.0,1995,5,9,1,13,8.0,8.0,13.0,56.0,68.0
1995-05-10,0.0,1995,5,10,1,13,0.0,8.0,13.0,13.0,58.0
1995-05-11,0.0,1995,5,11,2,14,0.0,8.0,8.0,13.0,58.0
1995-05-12,0.0,1995,5,12,2,14,0.0,0.0,8.0,13.0,56.0
1995-05-13,0.0,1995,5,13,2,14,0.0,0.0,8.0,8.0,13.0
1995-05-14,0.0,1995,5,14,2,14,0.0,0.0,0.0,8.0,13.0
1995-05-15,5.0,1995,5,15,2,14,5.0,5.0,5.0,13.0,18.0
