Tahun,Jumlah_Hari_Seharusnya,Jumlah_Data_Tersedia,Data_Hilang,Persentase_Kelengkapan
1995,365,365,0,100.0
1996,366,366,0,100.0
1997,365,365,0,100.0
1998,365,365,0,100.0
1999,365,365,0,100.0
2000,366,366,0,100.0
2001,365,365,0,100.0
2002,365,365,0,100.0
2003,365,365,0,100.0
2004,366,366,0,100.0
2005,365,365,0,100.0
2006,365,365,0,100.0
2007,365,365,0,100.0
2008,366,366,0,100.0
2009,365,365,0,100.0
2010,365,365,0,100.0
2011,365,365,0,100.0
2012,366,366,0,100.0
2013,365,365,0,100.0
2014,365,365,0,100.0
2015,365,365,0,100.0
2016,366,366,0,100.0
2017,365,365,0,100.0
2018,365,365,0,100.0
2019,365,365,0,100.0
2020,366,366,0,100.0
2021,365,365,0,100.0
2022,365,365,0,100.0
2023,365,365,0,100.0
2024,366,366,0,100.0
