Tahun,Dasarian_Tahunan,Curah_Hujan_Dasarian,Jumlah_Data_Tersedia,Jumlah_Hari,Persentase_Kelengkapan
1995,1,34.0,10,10,100.0
1995,2,240.0,10,10,100.0
1995,3,119.0,11,11,100.0
1995,4,121.0,10,10,100.0
1995,5,136.0,10,10,100.0
1995,6,9.0,8,8,100.0
1995,7,121.0,10,10,100.0
1995,8,54.0,10,10,100.0
1995,9,89.0,11,11,100.0
1995,10,110.0,10,10,100.0
1995,11,31.0,10,10,100.0
1995,12,80.0,10,10,100.0
1995,13,58.0,10,10,100.0
1995,14,10.0,10,10,100.0
1995,15,34.0,11,11,100.0
1995,16,29.0,10,10,100.0
1995,17,40.0,10,10,100.0
1995,18,23.0,10,10,100.0
1995,19,70.0,10,10,100.0
1995,20,40.0,10,10,100.0
