Tahun,Total_Curah_Hujan,Jumlah_Data_Tersedia,Jumlah_Hari,Persentase_Kelengkapan,Kategori_Awal
1995,2128.0,365,365,100.0,Relatif basah
1996,2353.0,366,366,100.0,Relatif basah
1997,1111.0,365,365,100.0,Relatif kering
1998,1799.3,365,365,100.0,Relatif basah
1999,1779.0,365,365,100.0,Relatif normal
2000,1533.6,366,366,100.0,Relatif normal
2001,1636.0,365,365,100.0,Relatif normal
2002,1574.0,365,365,100.0,Relatif normal
2003,1176.7,365,365,100.0,Relatif kering
2004,1390.0,366,366,100.0,Relatif kering
2005,1758.8,365,365,100.0,Relatif normal
2006,1248.0,365,365,100.0,Relatif kering
2007,1493.0,365,365,100.0,Relatif normal
2008,1536.2,366,366,100.0,Relatif normal
2009,1386.2,365,365,100.0,Relatif kering
2010,2137.2,365,365,100.0,Relatif basah
2011,1141.8,365,365,100.0,Relatif kering
2012,1197.2,366,366,100.0,Relatif kering
2013,2298.5,365,365,100.0,Relatif basah
2014,1519.5,365,365,100.0,Relatif normal
2015,1310.1,365,365,100.0,Relatif kering
2016,1811.4,366,366,100.0,Relatif basah
2017,1803.7,365,365,100.0,Relatif basah
2018,1364.1,365,365,100.0,Relatif kering
2019,1254.1,365,365,100.0,Relatif kering
2020,1998.7,366,366,100.0,Relatif basah
2021,1827.2,365,365,100.0,Relatif basah
2022,1720.2,365,365,100.0,Relatif normal
2023,1392.1,365,365,100.0,Relatif normal
2024,2212.6,366,366,100.0,Relatif basah
