Dasarian_Tahunan,Rata_Rata_Curah_Hujan,Median_Curah_Hujan,Standar_Deviasi
1,83.81,81.0,60.25
2,85.84,79.3,59.49
3,109.35,105.95,55.06
4,97.58,85.3,56.34
5,85.75,78.2,50.14
6,71.48,62.5,47.86
7,75.91,65.9,51.87
8,57.25,47.0,34.95
9,56.7,51.7,43.26
10,46.1,24.1,44.41
11,38.76,33.0,30.59
12,49.59,35.8,44.77
13,52.56,52.7,38.01
14,27.63,12.3,30.36
15,44.88,31.45,42.89
16,26.9,18.7,26.56
17,31.72,34.2,27.76
18,23.67,18.55,26.36
19,27.29,18.15,28.75
20,32.38,8.15,43.64
21,15.39,6.15,18.29
22,11.22,1.0,17.97
23,13.17,1.5,22.77
24,9.06,1.0,16.2
25,15.47,1.55,26.17
26,19.32,7.0,34.47
27,18.56,6.6,25.05
28,29.56,17.75,36.74
29,23.71,17.0,26.06
30,42.86,29.5,51.12
31,28.47,22.1,32.64
32,46.6,35.0,38.27
33,54.32,50.0,44.87
34,55.76,39.75,43.53
35,49.4,39.5,41.87
36,71.69,63.35,47.81
